BJD - 2454833, Corrected Flux
3085.396730327, 0.995520849,
3085.417162535, 0.995167157,
3085.437594742, 0.995418048,
3085.458026949, 0.995389288,
3085.478459155, 0.995415581,
3085.498891361, 0.995170290,
3085.519323567, 0.995075318,
3085.539755772, 0.995585952,
3085.560187976, 0.995127588,
3085.580620180, 0.995967950,
3085.601052384, 0.996826434,
3085.621484487, 0.997074370,
3085.641916790, 0.997575621,
3085.662348992, 0.997167416,
3085.682781094, 0.996716206,
3085.703213396, 0.996096759,
3085.723645596, 0.995418068,
3085.744077796, 0.995461819,
3085.764509997, 0.995388051,
3085.784942196, 0.995309800,
3085.805374495, 0.995304080,
3085.825806594, 0.995408728,
3085.846238792, 0.995617119,
3085.866671090, 0.995446087,
3085.887103287, 0.995364912,
3085.907535384, 0.995548382,
3085.927967680, 0.995445971,
3085.948399876, 0.995471857,
3085.968831971, 0.995356125,
3085.989264267, 0.995496669,
3086.009696461, 0.995348654,
3086.030128555, 0.995260767,
3086.050560849, 0.995600940,
3086.070993042, 0.995436631,
3086.091425135, 0.995342920,
3086.111857427, 0.995124487,
3086.132289619, 0.995493804,
3086.152721810, 0.995520742,
3086.173154001, 0.995534086,
3086.193586191, 0.995457159,
3086.214018382, 0.995674277,
3086.234450571, 0.998116137,
3086.254882760, 0.995330813,
3086.275314949, 0.995584308,
3086.295747137, 0.995512297,
3086.316179325, 0.995562164,
3086.336611412, 0.995601475,
3086.357043699, 0.995532201,
3086.377475885, 0.995318135,
3086.418340257, 0.995529946,
3086.438772442, 0.995492834,
3086.459204527, 0.995604310,
3086.479636811, 0.995265028,
3086.500068995, 0.995089427,
3086.520501278, 0.995475396,
3086.540933361, 0.995524065,
3086.561365543, 0.995638554,
3086.581797825, 0.995745746,
3086.602229907, 0.995368989,
3086.622662087, 0.995421103,
3086.643094368, 0.995510384,
3086.663526448, 0.995468314,
3086.683958628, 0.995376285,
3086.704390907, 0.995480456,
3086.724823086, 0.995765802,
3086.745255164, 0.995424989,
3086.765687442, 0.995563107,
3086.786119620, 0.995500256,
3086.806551697, 0.995736740,
3086.826983973, 0.995676288,
3086.847416150, 0.995634743,
3086.867848225, 0.995636740,
3086.888280500, 0.995516840,
3086.908712675, 0.995783240,
3086.929144749, 0.995477419,
3086.949577023, 0.995958073,
3086.970009197, 0.995415310,
3086.990441370, 0.995349235,
3087.010873542, 0.995663088,
3087.031305715, 0.995576850,
3087.051737886, 0.995488801,
3087.072170057, 0.995511696,
3087.092602228, 0.995407355,
3087.113034299, 0.995561833,
3087.153898738, 0.995370507,
3087.174330907, 0.995731195,
3087.194763075, 0.995416715,
3087.215195243, 0.995607447,
3087.235627511, 0.995380579,
3087.256059578, 0.995372496,
3087.276491745, 0.995459885,
3087.296924011, 0.995302230,
3087.317356077, 0.995524296,
3087.337788243, 0.995544825,
3087.358220508, 0.995272328,
3087.378652573, 0.995413862,
3087.399084736, 0.995592219,
3087.419517000, 0.995586164,
3087.439949063, 0.995547502,
3087.460381226, 0.995596283,
3087.480813489, 0.995544954,
3087.501245551, 0.995599377,
3087.521677712, 0.995721996,
3087.542109973, 0.995437110,
3087.562542134, 0.995751878,
3087.582974194, 0.995477900,
3087.603406454, 0.995444807,
3087.623838613, 0.995524279,
3087.644270672, 0.995610427,
3087.664702930, 0.995368606,
3087.685135088, 0.995450861,
3087.705567146, 0.995640926,
3087.725999403, 0.995414568,
3087.746431559, 0.995304371,
3087.766863716, 0.995402197,
3087.787295871, 0.995451468,
3087.807728027, 0.995236166,
3087.828160182, 0.995737282,
3087.848592336, 0.996076297,
3087.869024390, 0.996082025,
3087.889456644, 0.995430419,
3087.909888797, 0.995589487,
3087.930320950, 0.995457283,
3087.950753102, 0.995431685,
3087.991617405, 0.995268483,
3088.012049557, 0.995617364,
3088.032481707, 0.995368417,
3088.052913857, 0.995674650,
3088.073346107, 0.995447116,
3088.093778156, 0.995666670,
3088.134642553, 0.995457463,
3088.155074601, 0.995707037,
3088.175506749, 0.995530823,
3088.195938996, 0.995643425,
3088.216371042, 0.995617367,
3088.236803189, 0.995745140,
3088.257235434, 0.995670469,
3088.277667480, 0.995662921,
3088.298099624, 0.995680625,
3088.318531869, 0.995652702,
3088.338963913, 0.995648094,
3088.400260442, 0.995642135,
3088.420692585, 0.995688228,
3088.441124727, 0.996478948,
3088.461556868, 0.995664201,
3088.481989009, 0.995601244,
3088.502421150, 0.995912077,
3088.522853290, 0.995598847,
3088.543285429, 0.995999589,
3088.563717569, 0.995619823,
3088.584149607, 0.995935790,
3088.604581846, 0.995728719,
3088.625013984, 0.995741566,
3088.645446021, 0.995750719,
3088.665878259, 0.995824442,
3088.686310395, 0.995662356,
3088.706742432, 0.995930768,
3088.727174668, 0.995968287,
3088.747606803, 0.996107021,
3088.768038938, 0.995647160,
3088.788471072, 0.995438099,
3088.808903206, 0.995458439,
3088.829335340, 0.995625792,
3088.849767474, 0.995419111,
3088.870199606, 0.995562429,
3088.890631738, 0.995603263,
3088.911063971, 0.995994489,
3088.931496002, 0.995765177,
3088.951928133, 0.996098330,
3088.972360364, 0.995872533,
3088.992792394, 0.995755920,
3089.013224624, 0.995760121,
3089.033656753, 0.996009269,
3089.054088782, 0.995666022,
3089.074521011, 0.995845718,
3089.115385167, 0.996261579,
3089.135817394, 0.995872245,
3089.156249521, 0.995942292,
3089.176681547, 0.995872124,
3089.197113774, 0.995830437,
3089.217545899, 0.995933603,
3089.237978024, 0.996102342,
3089.258410149, 0.996024734,
3089.278842273, 0.995955082,
3089.299274397, 0.995995397,
3089.319706520, 0.995813133,
3089.340138643, 0.995889848,
3089.360570666, 0.996004448,
3089.381002888, 0.995823164,
3089.401435010, 0.996003632,
3089.421867031, 0.995997067,
3089.442299252, 0.995800094,
3089.462731372, 0.996163197,
3089.483163393, 0.996122773,
3089.503595612, 0.995822032,
3089.524027731, 0.995912649,
3089.544459750, 0.995865485,
3089.564891969, 0.995752505,
3089.585324087, 0.995801637,
3089.605756204, 0.995722628,
3089.626188321, 0.995653257,
3089.646620438, 0.995710525,
3089.667052654, 0.995965820,
3089.687484670, 0.996135152,
3089.707916786, 0.995916501,
3089.728349001, 0.995977313,
3089.748781115, 0.996070410,
3089.769213129, 0.996163963,
3089.789645343, 0.995718957,
3089.810077456, 0.995884090,
3089.850941681, 0.995982873,
3089.871373794, 0.995781489,
3089.891805805, 0.995804965,
3089.912238017, 0.996038478,
3089.932670127, 0.995987815,
3089.953102138, 0.996122653,
3089.973534348, 0.995748982,
3089.993966457, 0.996104050,
3090.014398466, 0.995906353,
3090.034830675, 0.995734214,
3090.055262783, 0.995925157,
3090.075694791, 0.995903426,
3090.096126999, 0.995823978,
3090.116559106, 0.996130241,
3090.136991112, 0.995850029,
3090.157423318, 0.995993124,
3090.177855424, 0.995909394,
3090.198287429, 0.996297231,
3090.218719634, 0.996052888,
3090.239151739, 0.995814755,
3090.259583743, 0.996032186,
3090.280015947, 0.995857283,
3090.300448050, 0.995778989,
3090.361744357, 0.996161240,
3090.382176559, 0.996123457,
3090.402608560, 0.995919500,
3090.423040661, 0.996008221,
3090.443472861, 0.996345372,
3090.463904861, 0.996299005,
3090.484336961, 0.995838211,
3090.504769160, 0.995965069,
3090.525201159, 0.995939050,
3090.545633257, 0.995781158,
3090.566065455, 0.996044372,
3090.586497552, 0.996252522,
3090.606929549, 0.996312009,
3090.627361746, 0.996496016,
3090.647793842, 0.996155251,
3090.668225838, 0.996271454,
3090.688658033, 0.996229160,
3090.709090128, 0.996045908,
3090.729522123, 0.996138421,
3090.749954317, 0.996262206,
3090.770386411, 0.996081600,
3090.790818404, 0.996471850,
3090.831682589, 0.996430172,
3090.852114682, 0.996020741,
3090.872546873, 0.996106230,
3090.892978864, 0.996271398,
3090.913410955, 0.996089974,
3090.933843146, 0.996533654,
3090.954275236, 0.996067402,
3090.974707326, 0.996345962,
3090.995139415, 0.996098167,
3091.015571504, 0.996148525,
3091.036003592, 0.996349455,
3091.056435680, 0.996456936,
3091.076867768, 0.996236575,
3091.097299955, 0.996233768,
3091.117731942, 0.996510185,
3091.138164028, 0.996286733,
3091.158596214, 0.996323140,
3091.179028200, 0.996437617,
3091.199460285, 0.996321489,
3091.219892470, 0.996316408,
3091.240324454, 0.996398521,
3091.260756538, 0.996187032,
3091.281188721, 0.996252039,
3091.301620704, 0.996114285,
3091.322052787, 0.996318106,
3091.342484969, 0.996475839,
3091.362916951, 0.995996159,
3091.383349033, 0.996249666,
3091.403781214, 0.995936509,
3091.424213294, 0.996253139,
3091.444645275, 0.996444668,
3091.465077454, 0.996208537,
3091.485509534, 0.996362992,
3091.505941513, 0.996370632,
3091.526373692, 0.996450717,
3091.567237748, 0.996161778,
3091.587669925, 0.996371681,
3091.608101902, 0.996242386,
3091.628534079, 0.996011869,
3091.648966155, 0.996142924,
3091.669398131, 0.996297692,
3091.689830306, 0.996208212,
3091.710262381, 0.995939745,
3091.730694356, 0.996299485,
3091.751126530, 0.996282034,
3091.791990677, 0.996197451,
3091.812422750, 0.996237195,
3091.832854823, 0.996042529,
3091.853286895, 0.996077382,
3091.873718967, 0.996300623,
3091.894151038, 0.996368595,
3091.914583109, 0.996347257,
3091.935015279, 0.996226289,
3091.955447250, 0.996318580,
3091.975879320, 0.996285528,
3091.996311489, 0.996373645,
3092.016743458, 0.996257094,
3092.057607695, 0.996334355,
3092.078039662, 0.996212544,
3092.098471730, 0.996416447,
3092.118903897, 0.996393197,
3092.139335863, 0.996417839,
3092.159767929, 0.996244099,
3092.180200095, 0.996242729,
3092.200632061, 0.996098037,
3092.221064225, 0.996491623,
3092.241496190, 0.996428782,
3092.261928354, 0.996356301,
3092.323224444, 0.996154869,
3092.343656607, 0.996166562,
3092.364088669, 0.995969082,
3092.384520631, 0.996360974,
3092.404952792, 0.996372028,
3092.425384853, 0.996322705,
3092.445816814, 0.996150581,
3092.466248974, 0.996235020,
3092.486681034, 0.996586450,
3092.507112993, 0.996316584,
3092.527545152, 0.996290196,
3092.547977211, 0.996399749,
3092.568409169, 0.996586743,
3092.588841327, 0.996352935,
3092.609273384, 0.996428880,
3092.629705441, 0.996410750,
3092.650137498, 0.996384922,
3092.670569554, 0.996595091,
3092.691001610, 0.996552086,
3092.711433665, 0.996250090,
3092.731865721, 0.996471380,
3092.752297775, 0.996504160,
3092.793161883, 0.996355338,
3092.813594037, 0.996644351,
3092.834026090, 0.996539479,
3092.854458043, 0.996549295,
3092.874890195, 0.996621870,
3092.895322247, 0.996579770,
3092.915754198, 0.996706675,
3092.936186350, 0.996570963,
3092.956618400, 0.996691038,
3092.977050351, 0.996764809,
3092.997482501, 0.996475023,
3093.017914550, 0.996591707,
3093.038346499, 0.996607462,
3093.058778648, 0.996671843,
3093.079210597, 0.996584115,
3093.099642644, 0.996521266,
3093.120074792, 0.996810574,
3093.140506739, 0.996594027,
3093.160938786, 0.996505528,
3093.181370933, 0.996579227,
3093.201802978, 0.996513743,
3093.222234924, 0.996668820,
3093.242667069, 0.996546591,
3093.283531059, 0.996535433,
3093.303963203, 0.996497709,
3093.324395246, 0.996689886,
3093.344827190, 0.996561903,
3093.365259332, 0.996390556,
3093.385691375, 0.996545951,
3093.406123317, 0.996678402,
3093.426555459, 0.997393132,
3093.446987501, 0.996780385,
3093.467419641, 0.997370843,
3093.487851582, 0.996571951,
3093.508283622, 0.996581881,
3093.528715762, 0.996757239,
3093.549147702, 0.996706562,
3093.569579740, 0.996830766,
3093.590011879, 0.996697852,
3093.610443918, 0.996516740,
3093.630875855, 0.996601909,
3093.651307993, 0.996863431,
3093.671740030, 0.996664179,
3093.692171966, 0.996707314,
3093.712604103, 0.996231189,
3093.733036139, 0.996728680,
3093.773900209, 0.997002283,
3093.794332244, 0.996721185,
3093.814764179, 0.996724311,
3093.835196313, 0.996636186,
3093.855628247, 0.996568521,
3093.876060280, 0.996905391,
3093.896492413, 0.996774198,
3093.916924345, 0.996991732,
3093.937356377, 0.996950431,
3093.957788509, 0.996654133,
3093.978220440, 0.996554754,
3093.998652471, 0.996594594,
3094.019084602, 0.996476894,
3094.039516632, 0.997040641,
3094.059948662, 0.996793997,
3094.080380691, 0.996854288,
3094.100812720, 0.996794612,
3094.121244749, 0.996819135,
3094.141676777, 0.996873071,
3094.162108805, 0.996867848,
3094.182540933, 0.996979975,
3094.202972860, 0.997078566,
3094.223404887, 0.997084932,
3094.284700964, 0.996883783,
3094.305133090, 0.997034518,
